name	chrom	start	stop	length
LOC102725121	1	182388	184878	2490
LOC100133331	1	725759	730351	4592
LOC100288069	1	764865	778688	13823
LINC01128	1	827591	859446	31855
FAM41C	1	868071	876802	8731
LOC100288175	1	1059734	1066453	6719
B3GALT6	1	1232237	1235040	2803
C1QTNF12	1	1242453	1246722	4269
PUSL1	1	1308580	1311677	3097
CPTP	1	1324802	1328896	4094
MRPL20-AS1	1	1399530	1402046	2516
MRPL20	1	1401909	1407293	5384
ANKRD65	1	1418420	1421444	3024
FNDC10	1	1598012	1600135	2123
LOC105378586	1	1599433	1607210	7777
MMP23A	1	1632780	1701808	69028
FAAP20	1	2184460	2212720	28260
PRDM16	1	3069203	3438621	369418
ARHGEF16	1	3454665	3481113	26448
TPRG1L	1	3625015	3630127	5112
WRAP73	1	3630770	3650103	19333
CEP104	1	3812086	3857211	45125
LINC01777	1	4412051	4424684	12633
LINC01646	1	4571487	4583704	12217
AJAP1	1	4654609	4792522	137913
TNFRSF25	1	6461154	6466195	5041
TAS1R1	1	6555307	6579755	24448
THAP3	1	6624865	6635586	10721
PER3	1	7784187	7845180	60993
ERRFI1	1	8011727	8026309	14582
SLC2A7	1	9003300	9026345	23045
GPR157	1	9100305	9129102	28797
H6PD	1	9234774	9271335	36561
LZIC	1	9922118	9943391	21273
NMNAT1	1	9942923	9985498	42575
TMEM274P	1	9950572	9960787	10215
UBE4B	1	10032958	10181238	148280
CENPS-CORT	1	10430433	10452153	21720
SRM	1	11054590	11060018	5428
EXOSC10	1	11066619	11099869	33250
UBIAD1	1	11273198	11299571	26373
FBXO2	1	11648387	11654429	6042
FBXO44	1	11654407	11663327	8920
FBXO6	1	11664200	11674352	10152
MTHFR	1	11785726	11805964	20238
MIIP	1	12019498	12032045	12547
DHRS3	1	12567910	12618210	50300
AADACL4	1	12644547	12667086	22539
PRAMEF1	1	12791397	12796628	5231
PRAMEF17	1	13389632	13392629	2997
TMEM51	1	15152532	15220478	67946
FHAD1	1	15247225	15398127	150902
DNAJC16	1	15526813	15571733	44920
RSC1A1	1	15659713	15662030	2317
SLC25A34	1	15736258	15741392	5134
SLC25A34-AS1	1	15740051	15749890	9839
CPLANE2	1	16231692	16237183	5491
SZRD1	1	16367242	16398145	30903
NECAP2	1	16440672	16460089	19417
NBPF1	1	16562323	16613564	51241
CROCCP2	1	16618256	16630906	12650
CROCC	1	16921931	16972960	51029
MFAP2	1	16974504	16981586	7082
ACTL8	1	17755333	17827063	71730
IFFO2	1	18904280	18956676	52396
UBR4	1	19074511	19210266	135755
EMC1	1	19215661	19251524	35863
MRTO4	1	19251805	19260128	8323
LOC100506730	1	19293247	19295736	2489
AKR7A2	1	19302708	19312146	9438
SLC66A1	1	19312326	19332428	20102
LOC105378614	1	19591802	19596832	5030
NBL1	1	19643229	19658456	15227
TMCO4	1	19682213	19799916	117703
PLA2G2C	1	20163055	20177439	14384
UBXN10	1	20186096	20196050	9954
MUL1	1	20499448	20508151	8703
EIF4G3	1	20806292	21176897	370605
RAP1GAP	1	21596221	21669357	73136
HSPG2	1	21822244	21937310	115066
ZBTB40	1	22451851	22531157	79306
LUZP1	1	23084023	23168858	84835
ELOA	1	23743366	23762059	18693
LYPLA2	1	23791145	23795539	4394
PNRC2	1	23959828	23963459	3631
MYOM3	1	24056041	24112135	56094
GRHL3	1	24319357	24364480	45123
RUNX3	1	24899511	24965010	65499
TMEM50A	1	25338334	25362361	24027
RHCE	1	25362249	25420914	58665
LDLRAP1	1	25543606	25568886	25280
MTFR1L	1	25819906	25832942	13036
STMN1	1	25884179	25906877	22698
C1orf232	1	26164161	26168582	4421
CNKSR1	1	26177491	26189884	12393
DHDDS	1	26432282	26471304	39022
DHDDS-AS1	1	26462757	26467537	4780
HMGN2	1	26472440	26476642	4202
FCN3	1	27369110	27374852	5742
FGR	1	27612064	27635185	23121
LINC02574	1	27660328	27662722	2394
